Model,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score
ID3,0.8044875782837709,0.8174217015447116,0.9532308709304247,0.8801180001017241,0.8015925680159257,0.809811320754717,0.9580357142857143,0.8777096114519428
CART,0.8044875782837709,0.8174217015447116,0.9532308709304247,0.8801180001017241,0.8015925680159257,0.809811320754717,0.9580357142857143,0.8777096114519428
C5.0,0.8400315208825847,0.8748295752490823,0.919021649314163,0.8963812696451119,0.8299601857996018,0.8642209572000843,0.9149553571428571,0.8888647945354006
